GEOID20,total_reg,party_dem,party_rep,party_npp,party_lib,party_ain,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
54103004900,3055,1395,996,445,17,0,0,1,0,2710,24,0,23,29,269
54103030400,1259,520,424,235,2,0,0,3,0,1103,16,0,1,8,131
54103030500,1823,817,585,265,9,0,0,2,0,1643,8,1,5,16,150
54103030700,2146,906,744,337,21,0,0,1,0,1931,19,3,6,12,175
54103030800,888,391,274,174,2,0,0,0,0,812,8,1,2,5,60
54057010100,1400,403,655,318,12,0,0,0,0,1248,11,1,6,11,123
54057010200,2376,504,1284,537,23,0,0,3,0,2082,27,1,12,22,232
54057010300,2839,644,1489,662,18,0,0,2,0,2460,17,1,33,33,295
54057010400,2603,499,1522,543,15,0,0,0,0,2281,29,2,9,12,270
54057010500,3998,865,2063,983,34,0,1,0,0,3510,27,32,18,15,396
54057010600,2733,747,1297,628,24,0,0,0,0,2374,30,63,16,6,244
54057010700,966,267,433,249,9,0,0,0,0,794,4,73,5,0,90
54089000500,2691,1235,752,580,11,0,0,1,0,2405,50,66,3,18,149
54089000600,1854,801,557,424,4,0,1,1,0,1685,41,9,5,3,111
54089000700,1112,606,215,237,8,0,0,1,0,962,26,33,1,7,83
54089000800,2081,869,681,448,6,0,0,0,0,1941,23,5,5,10,97
54017965000,1645,295,1009,285,10,0,0,0,0,1482,20,1,1,6,135
54017965100,2115,300,1263,477,4,0,1,2,0,1963,22,2,12,7,109
54033030100,3968,1592,1210,1121,32,0,1,1,0,3407,67,51,6,21,416
54033030200,1657,770,456,411,11,0,0,0,0,1424,55,18,5,11,144
54033030300,1291,615,284,377,7,0,0,1,0,1104,31,20,1,8,127
54033030400,1940,903,517,491,18,0,0,1,0,1591,74,93,9,8,165
54033030501,457,154,167,130,3,0,0,1,0,409,7,0,2,1,38
54033030502,1737,742,538,437,10,0,0,2,0,1526,42,2,4,10,153
54033030601,1365,545,443,355,13,0,0,0,0,1200,22,2,5,13,123
54033030603,1210,469,419,309,8,0,0,1,0,1043,27,2,12,14,112
54033030604,2038,835,607,564,23,0,0,0,0,1766,47,14,3,14,194
54033030700,980,358,363,248,8,0,0,1,0,867,15,2,0,7,89
54033030801,718,238,268,201,8,0,0,0,0,626,10,3,2,2,75
54033030802,1612,608,580,405,8,0,2,0,0,1445,23,0,8,6,130
54033031000,1526,678,433,403,8,0,0,1,0,1341,31,2,3,5,144
54033031100,1320,469,507,332,7,0,0,0,0,1166,35,1,7,6,105
54033031200,1723,602,661,443,10,0,0,0,0,1501,21,2,19,14,166
54033031300,1940,590,781,552,7,0,0,1,0,1746,29,1,7,18,139
54033031400,1080,296,481,293,4,0,1,0,0,964,12,1,3,3,97
54033031500,595,178,265,148,3,0,0,0,0,527,8,1,0,2,57
54033031600,1894,484,840,523,21,0,1,0,0,1704,18,2,9,9,152
54033031700,904,284,352,257,3,0,0,0,0,801,8,1,2,0,92
54033031800,824,311,285,217,4,0,0,1,0,740,1,10,3,2,68
54033031900,2264,946,752,543,13,0,2,1,0,1991,36,25,8,18,186
54033032000,1498,584,552,339,5,0,0,2,0,1322,21,2,6,18,129
54033032103,5814,2143,2321,1287,38,0,0,2,0,5011,105,10,51,110,527
54033032104,2768,972,1136,636,12,0,0,0,0,2403,49,6,16,37,257
54055000900,2040,575,846,541,11,0,0,1,0,1935,29,2,0,6,68
54055001000,2851,836,1123,756,19,0,0,2,0,2652,20,4,6,12,157
54055001100,3697,1164,1461,922,18,0,2,2,0,3383,38,10,18,22,226
54055001200,2458,769,935,660,15,0,1,2,0,2259,33,7,7,8,144
54055001300,2239,785,691,672,18,0,1,0,0,2025,30,29,11,18,126
54055001400,1667,662,524,422,10,0,0,0,0,1440,26,65,7,17,112
54055001500,4127,1372,1495,1109,16,0,1,2,0,3626,50,96,38,55,262
54055001600,741,286,228,204,5,0,0,0,0,687,6,3,1,1,43
54055001700,2970,937,1104,809,14,0,0,2,0,2688,30,5,8,32,207
54055001800,2665,847,962,713,10,0,0,2,0,2432,25,18,9,18,163
54055001900,2256,952,637,618,14,0,0,0,0,1758,14,329,7,17,131
54055002000,1463,663,363,391,10,0,0,3,0,964,28,411,5,3,52
54055002100,1953,766,675,460,7,0,0,1,0,1633,22,155,9,19,115
54055002200,3215,1186,1152,777,16,0,0,1,0,2588,32,301,33,25,236
54055002300,2555,705,1071,677,13,1,0,0,0,2348,33,10,10,22,132
54055002400,1576,463,680,369,5,0,0,2,0,1409,20,20,5,7,115
54085962300,2485,428,1481,503,11,0,1,2,0,2252,17,7,6,7,196
54085962400,1639,300,883,385,9,0,0,2,0,1487,12,1,5,8,126
54085962500,1786,279,1064,386,10,0,0,0,0,1652,11,0,4,12,107
54071970400,1023,337,452,179,0,0,0,0,0,959,7,0,2,4,51
54071970500,2514,1007,821,540,6,0,0,0,0,2206,15,15,9,9,260
54071970600,1197,445,360,304,4,0,0,0,0,1030,16,1,5,4,141
54007967900,2758,1363,804,542,10,0,0,1,0,2580,22,8,12,9,127
54007968000,2466,1135,782,483,10,0,0,1,0,2285,21,2,11,7,140
54007968100,2348,1180,619,492,10,0,0,1,0,2184,17,5,6,7,129
54081000200,2286,1243,454,556,15,0,2,1,0,1332,56,738,18,26,116
54081000300,2731,1283,776,623,15,0,0,0,0,1880,44,633,31,28,115
54081000400,2093,1017,513,528,14,0,0,2,0,1479,40,450,18,17,89
54081000500,3087,1227,1131,683,18,0,1,1,0,2643,64,93,47,48,192
54081000600,3091,1223,982,808,20,0,2,0,0,2527,64,244,19,44,193
54081000700,1894,636,743,479,7,0,0,1,0,1697,18,39,2,19,119
54081000802,2865,763,1344,697,12,0,1,2,0,2647,37,16,9,33,123
54081000803,3324,853,1629,773,20,0,0,0,0,3015,54,4,39,49,163
54081000804,3845,1081,1715,972,17,0,0,0,0,3541,60,22,14,26,182
54081000900,3972,1305,1553,1028,24,0,0,3,0,3725,49,22,6,10,160
54081001001,3278,1005,1356,848,18,0,0,1,0,3074,32,2,7,12,151
54081001002,1996,685,732,528,11,0,0,1,0,1830,20,10,14,7,115
54081001100,3447,979,1454,948,14,0,0,1,0,3223,24,68,9,14,109
54081001200,2645,773,1157,651,14,0,0,1,0,2523,19,3,2,6,92
54081001300,3181,1113,1258,731,22,0,0,1,0,2768,41,137,21,39,175
54081001400,3412,1081,1408,844,16,1,1,5,0,3098,55,61,15,23,160
54081001500,2796,1085,990,680,8,0,0,1,0,2373,48,86,57,73,159
54051020200,1147,443,360,303,4,0,0,2,0,1004,18,2,5,16,102
54051020500,549,230,151,152,2,0,0,1,0,434,10,1,4,19,81
54051020601,1395,604,416,329,9,0,0,2,0,1182,20,2,10,28,153
54051020702,958,399,360,171,7,0,0,0,0,807,18,2,5,14,112
54051020800,2570,877,1020,589,13,0,0,4,0,2270,23,1,10,19,247
54051020900,2906,1013,1128,664,12,0,0,1,0,2600,20,0,5,23,258
54051021001,777,244,311,187,8,0,0,1,0,702,6,1,7,5,56
54051021002,3311,1237,1216,749,19,0,0,3,0,2894,42,3,24,24,324
54051021100,3021,1184,1078,651,15,0,2,5,0,2633,25,4,20,42,297
54051021300,2275,840,874,487,6,0,0,4,0,1956,21,3,18,39,238
54083965900,1999,850,640,359,9,0,1,4,0,1822,13,3,7,6,148
54083966000,3759,1649,1164,667,20,0,0,6,0,3381,49,3,22,30,274
54083966100,2752,1179,765,625,24,0,2,4,0,2437,43,11,15,21,225
54083966200,1750,735,515,352,11,0,1,2,0,1572,13,2,3,12,148
54083966300,1977,723,730,340,7,0,0,1,0,1791,4,1,5,6,170
54083966400,3254,1400,1068,538,13,0,0,5,0,2925,23,2,10,24,270
54083966500,1880,880,555,319,4,0,0,5,0,1726,9,3,8,10,124
54029020600,3125,1396,1050,591,16,0,1,3,0,2515,47,7,20,84,452
54029020700,3306,1501,1057,660,20,0,2,2,0,2731,52,12,24,67,420
54029020900,1832,733,650,403,8,0,0,2,0,1609,30,1,8,14,170
54029021100,2722,1004,1098,545,14,0,0,0,0,2324,27,1,5,56,309
54029021200,2666,1007,1019,549,19,0,2,1,0,2346,40,3,17,29,231
54029021300,2198,922,720,490,27,1,4,4,0,1750,36,82,10,43,277
54029021400,2527,1089,869,519,16,0,1,1,0,1962,35,152,9,56,313
54029021500,2968,1194,1102,608,18,0,1,1,0,2628,36,0,11,30,263
54059957100,1882,1137,337,163,3,0,0,0,0,1765,14,10,3,4,86
54059957200,1553,927,313,146,3,0,0,0,0,1448,9,3,2,5,86
54059957300,3927,2364,761,402,6,0,0,3,0,3680,20,7,11,4,205
54059957400,3761,2330,687,417,9,0,0,1,0,3323,30,203,23,27,155
54059957500,906,544,171,95,0,0,0,1,0,839,8,7,5,2,45
54059957600,4152,2332,865,452,9,0,0,5,0,3915,29,9,6,14,179
54059957700,1306,770,293,127,1,0,0,1,0,1235,6,5,2,13,45
54091964600,3165,1087,1247,609,19,0,0,1,0,2799,24,6,14,17,305
54091964700,2806,895,1219,479,10,0,0,1,0,2511,34,1,12,21,227
54091964800,2784,1060,1003,528,24,0,1,6,0,2472,24,8,8,11,261
54091964900,1457,509,579,255,5,0,0,0,0,1344,5,1,7,0,100
54109002800,1324,637,371,179,3,0,0,2,0,1256,8,3,4,8,45
54109002901,2959,1206,1131,363,10,0,0,2,0,2805,27,5,14,6,102
54109002902,2600,1220,723,391,3,0,0,0,0,2445,20,10,4,3,118
54109003000,1944,983,488,287,4,0,3,0,0,1842,14,3,10,4,71
54109003100,4225,2081,1135,569,11,0,2,1,0,4009,23,8,11,5,169
54109003200,2986,1362,946,448,7,0,0,4,0,2785,26,26,4,3,142
54095961800,2362,645,1086,570,12,0,0,1,0,2160,15,1,7,16,163
54095961900,2446,557,1313,509,10,0,1,1,0,2290,6,1,6,11,132
54095962000,706,109,420,155,4,0,0,1,0,640,1,1,2,4,58
54045956102,3316,1818,721,443,7,0,0,2,0,3066,52,5,10,8,175
54045956103,2336,1274,511,287,6,0,1,0,0,2177,21,4,5,8,121
54045956104,1028,546,215,134,3,0,0,0,0,966,12,1,1,0,48
54045956200,1432,807,283,191,5,0,0,0,0,1311,10,30,3,4,74
54045956400,2446,1347,513,319,8,0,3,3,0,2258,21,23,5,16,123
54045956500,1422,708,356,228,9,0,0,1,0,1359,9,4,1,1,48
54045956600,3030,1648,700,396,7,0,1,1,0,2783,25,33,17,9,163
54045956700,1431,807,259,211,3,0,1,1,0,1320,14,12,3,4,78
54045956800,2439,1199,562,362,6,0,0,3,0,2246,22,2,7,10,152
54045956900,4071,2442,744,495,9,0,1,4,0,3735,59,53,15,27,182
54067950100,1647,569,588,374,9,0,0,1,0,1543,12,0,5,1,86
54067950201,1706,589,666,357,8,0,0,1,0,1592,8,1,7,6,92
54067950202,2325,807,907,473,9,0,0,2,0,2137,21,0,15,9,143
54067950300,749,317,236,163,5,0,0,4,0,724,2,1,2,0,20
54067950400,2465,805,926,588,14,0,1,0,0,2335,20,1,8,6,95
54067950500,867,346,275,185,1,0,0,0,0,800,15,1,4,4,43
54067950600,2863,1069,1063,598,6,0,1,2,0,2703,21,0,13,5,121
54067950700,1986,632,782,454,13,0,1,1,0,1839,17,0,6,4,120
54037972201,3209,1336,826,936,23,0,1,1,0,2585,100,124,42,45,313
54037972203,1809,622,543,557,21,0,1,2,0,1444,60,73,18,17,197
54037972204,1733,683,487,483,21,0,1,1,0,1464,31,21,23,9,185
54037972300,3013,831,1151,885,30,0,1,5,0,2508,118,71,25,38,253
54037972401,1636,649,423,512,19,0,2,0,0,1210,145,135,20,8,118
54037972402,2479,805,853,737,29,0,0,1,0,1882,196,138,36,27,200
54037972501,3510,1071,1237,1075,41,0,1,1,0,2785,178,129,26,51,341
54037972503,2243,663,770,738,25,0,0,2,0,1738,146,110,43,11,195
54037972505,2128,803,589,628,33,0,0,2,0,1595,131,168,18,22,194
54037972506,2500,739,876,792,32,0,0,0,0,1876,202,107,30,42,243
54037972601,1276,445,367,411,14,0,1,1,0,1058,27,17,11,9,154
54037972602,3175,829,1238,1021,28,0,2,1,0,2631,138,34,47,48,277
54037972701,1750,413,688,570,34,0,0,2,0,1490,57,4,6,19,174
54037972702,2653,550,1058,921,49,0,0,4,0,2302,74,4,26,16,231
54037972800,4109,1028,1659,1259,47,0,1,1,0,3494,113,60,30,43,369
54053954801,1855,842,628,299,12,0,0,1,0,1695,7,0,5,14,134
54053954802,2582,1078,1006,376,10,0,1,1,0,2378,17,1,11,13,162
54053954901,1824,563,857,319,6,0,0,1,0,1701,5,1,4,6,107
54053954902,2784,1002,1178,440,18,0,0,1,0,2536,17,5,17,21,188
54053955000,3181,1277,1278,459,26,0,0,2,0,2880,22,27,30,31,191
54053955101,1736,639,749,246,9,0,1,0,0,1586,17,2,5,4,122
54053955102,3000,1082,1269,490,18,6,0,1,0,2805,13,3,1,25,153
54087962800,1505,483,633,367,7,0,0,0,0,1404,10,0,5,8,78
54087962901,1228,322,555,330,8,0,0,2,0,1141,3,4,2,2,76
54087962902,1120,356,460,287,4,0,0,0,0,1035,11,2,6,10,56
54087963000,2225,752,790,631,13,0,0,2,0,2065,28,1,6,15,110
54087963100,2114,696,829,542,13,0,0,0,0,1976,20,1,5,11,101
54011000101,893,359,310,203,7,4,0,1,0,839,9,5,2,4,34
54011000102,1226,529,411,251,13,5,0,0,0,1068,32,16,13,14,83
54011000200,1388,568,401,370,20,5,1,3,0,1274,17,17,3,7,70
54011000300,1302,606,398,259,15,10,0,0,0,1127,31,17,13,15,99
54011000400,935,431,224,249,8,6,0,4,0,780,18,52,7,12,66
54011000500,419,165,94,145,10,4,0,0,0,315,13,36,5,14,36
54011000600,447,215,94,115,5,4,0,3,0,377,9,21,2,10,28
54011000900,548,239,166,126,6,4,0,1,0,477,15,10,9,4,33
54011001000,1037,462,305,222,20,5,1,3,0,929,13,11,4,2,78
54011001100,853,378,257,186,11,10,0,2,0,753,17,20,6,7,50
54011001200,1684,810,492,335,12,16,1,2,0,1459,25,63,22,8,107
54011001300,1450,733,303,352,27,10,1,3,0,1195,32,63,27,9,124
54011001400,1335,767,235,294,12,8,0,1,0,749,33,450,11,21,71
54011001500,1113,669,180,237,8,5,0,0,0,571,14,466,6,10,46
54011001600,544,275,105,143,5,7,0,1,0,372,13,112,3,6,38
54011001800,1624,721,422,426,13,9,0,3,0,1382,32,100,11,12,87
54011001900,1455,603,552,257,10,9,0,0,0,1274,24,15,16,13,113
54011002000,2274,1011,747,448,19,16,0,5,0,2016,44,26,16,31,141
54011002100,2200,928,792,384,24,15,0,3,0,1939,28,27,31,35,140
54011010103,1769,580,776,352,19,11,0,1,0,1646,10,1,5,4,103
54011010104,1944,739,784,355,23,9,0,2,0,1758,30,4,23,18,111
54011010202,2475,918,1030,459,24,16,1,4,0,2211,29,5,28,33,169
54011010203,2476,918,1005,485,27,14,1,2,0,2175,40,22,33,28,178
54011010204,1028,397,432,176,11,6,0,0,0,842,15,9,31,37,94
54011010300,2016,668,916,366,19,16,0,0,0,1857,20,3,18,16,102
54011010401,1585,638,600,288,24,13,1,0,0,1429,26,6,12,18,94
54011010402,2046,794,834,358,19,12,0,0,0,1857,22,6,24,23,114
54011010500,3307,1074,1529,603,22,28,0,1,0,3086,24,4,8,27,158
54011010600,2157,666,998,436,15,9,0,0,0,2021,11,1,14,14,96
54011010701,1178,420,530,196,11,7,0,0,0,1090,19,1,2,4,62
54011010702,3062,967,1442,564,35,12,0,0,0,2826,22,6,15,26,167
54011010801,1507,418,724,316,10,4,0,3,0,1383,19,0,3,6,96
54011010802,2820,910,1306,526,19,23,0,1,0,2642,23,4,6,12,133
54011010900,922,419,227,244,9,5,0,1,0,793,20,37,6,8,58
54063950100,1753,550,775,403,5,0,0,2,0,1617,15,4,5,6,106
54063950200,3326,1153,1317,795,16,0,0,2,0,3073,44,11,10,20,168
54063950300,3520,937,1708,809,17,0,0,0,0,3270,29,5,8,22,186
54075960101,785,273,275,229,3,0,0,0,0,693,9,1,1,4,77
54075960102,816,311,271,218,3,0,0,3,0,739,8,0,3,2,64
54075960201,1636,569,589,431,12,0,1,3,0,1475,13,2,4,9,133
54075960202,1041,340,390,296,7,0,0,0,0,929,15,4,3,10,80
54075960300,1319,479,481,338,6,0,0,1,0,1231,12,0,2,2,72
54065970701,3250,552,1680,922,16,0,3,1,0,2755,45,2,20,30,398
54065970702,1470,245,743,437,13,0,1,2,0,1273,23,1,9,8,156
54065970800,2341,456,1051,755,11,0,1,2,0,2013,36,2,15,12,263
54065970900,1778,349,832,533,19,0,0,0,0,1552,30,21,11,9,155
54065971001,2082,357,992,664,18,0,0,0,0,1836,30,2,7,12,195
54065971002,1501,282,716,469,8,0,1,1,0,1271,19,2,9,11,189
54097966600,2384,500,1306,545,16,0,0,0,0,2162,18,1,16,17,170
54097966700,2176,585,1006,556,14,0,0,0,0,1919,25,3,7,24,198
54097966800,2247,510,1181,526,17,0,0,0,0,2047,28,1,8,10,153
54097966900,1953,494,1002,427,10,0,2,1,0,1767,31,0,7,9,139
54097967000,2571,520,1380,614,14,1,0,1,0,2363,12,1,3,27,165
54097967100,2165,391,1230,496,18,0,0,0,0,1996,13,0,4,6,146
54107000100,2075,656,900,484,19,0,0,1,0,1847,38,8,13,24,145
54107000300,1525,519,585,378,20,0,1,0,0,1370,25,14,7,12,97
54107000400,1572,518,647,381,12,0,1,0,0,1435,7,10,9,17,94
54107000500,2497,804,838,773,45,0,2,1,0,2177,35,50,12,23,200
54107000701,1339,442,415,439,20,0,0,2,0,1182,13,27,8,10,99
54107000702,895,293,313,272,4,0,0,1,0,813,8,3,6,8,57
54107000801,701,198,289,200,7,0,0,0,0,636,8,0,4,0,53
54107000802,1750,498,676,532,14,0,0,1,0,1599,15,2,6,5,123
54107000901,1016,287,397,312,7,0,0,0,0,914,9,3,6,5,79
54107000902,823,250,318,227,15,0,0,1,0,734,5,1,2,3,78
54107000903,2439,713,1055,619,18,0,1,2,0,2206,29,15,11,4,174
54107010101,1413,325,703,357,10,0,0,0,0,1285,8,1,8,10,101
54107010102,1299,371,560,344,12,0,0,0,0,1141,18,3,12,12,113
54107010200,2138,571,913,602,22,1,0,1,0,1916,12,2,11,15,182
54107010300,3297,979,1489,766,20,0,0,1,0,2909,32,3,46,40,267
54107010400,1312,357,600,334,4,0,0,1,0,1162,11,2,16,24,97
54107010501,1018,292,414,279,8,1,1,2,0,940,6,0,6,14,52
54107010502,2604,827,1135,594,22,0,1,1,0,2342,31,5,23,25,178
54107010601,2869,685,1326,796,17,0,0,0,0,2623,18,4,9,18,197
54107010602,2847,741,1322,712,22,0,3,2,0,2599,24,1,15,13,195
54107010703,3542,888,1731,847,26,0,0,3,0,3274,26,1,11,15,215
54107010704,2011,519,943,515,14,0,1,0,0,1856,10,4,12,16,113
54107010705,1330,364,623,321,12,0,0,0,0,1228,7,0,8,2,85
54107010706,2109,572,956,519,24,0,0,1,0,1908,21,1,7,12,160
54107010800,1942,397,993,504,13,0,0,5,0,1817,11,3,8,12,91
54107010901,3131,800,1527,740,17,0,0,3,0,2881,17,1,16,17,199
54107010902,2293,556,1081,599,19,0,2,2,0,2093,23,1,9,9,158
54107011000,1550,502,551,455,13,0,0,2,0,1381,19,8,7,13,122
54023969400,1587,192,1018,354,3,0,0,0,0,1395,4,1,3,5,179
54023969500,2499,215,1859,412,2,0,0,1,0,2150,18,0,7,3,321
54023969600,3022,342,1999,625,10,0,0,0,0,2671,30,5,20,13,283
54105030101,2319,792,977,484,5,0,1,0,0,2145,6,0,8,5,155
54105030102,1283,423,561,262,7,0,1,0,0,1206,6,1,7,3,60
54049020100,743,373,145,158,11,0,0,2,0,557,13,101,0,13,59
54049020200,2725,1253,662,651,18,0,2,8,0,2264,51,74,15,20,301
54049020300,3001,1467,807,495,25,0,0,3,0,2541,65,17,18,52,308
54049020400,1049,499,312,168,7,0,0,1,0,860,24,5,33,20,107
54049020500,1327,717,284,227,13,0,0,4,0,801,14,406,3,22,81
54049020600,957,436,262,202,3,0,0,1,0,818,13,15,6,9,96
54049020700,2523,1032,789,522,21,0,2,6,0,2176,40,12,13,24,258
54049020800,2436,1075,673,508,18,1,2,8,0,2087,35,9,11,27,267
54049020900,3000,1198,1004,521,29,0,0,6,0,2601,42,7,13,50,287
54049021001,1606,623,582,276,11,0,0,1,0,1426,14,1,5,14,146
