FULLCODE,total_reg,party_rep,party_dem,party_npp,party_lib,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
56031959100,1311,931,207,153,10,0,0,0,1105,69,0,6,3,128
56031959401,2649,2022,299,284,31,0,0,0,2250,111,4,10,20,254
56031959402,1132,908,119,91,10,0,0,0,982,39,0,3,7,101
56039967601,1717,724,569,405,16,0,0,0,1411,46,6,18,18,218
56039967602,1708,823,480,389,15,0,0,0,1427,24,2,26,11,218
56039967701,1404,435,619,341,8,0,0,0,1180,37,0,14,29,144
56039967703,2069,742,904,411,11,1,0,0,1694,46,1,44,39,245
56039967704,2658,894,1130,608,26,0,0,0,2198,84,3,43,31,299
56039967801,2776,740,1252,759,25,0,0,0,2224,127,1,27,65,332
56039967802,3090,1176,1195,689,27,0,1,0,2548,119,1,38,44,340
56019955100,1648,1464,75,99,7,0,0,0,1381,45,0,8,20,194
56019955201,1357,1088,136,126,7,0,0,0,1147,50,0,11,14,135
56019955202,2040,1673,170,176,10,0,0,0,1751,54,0,20,18,197
56017967800,1471,1167,149,142,10,0,0,0,1289,34,0,8,10,130
56017967900,1182,994,100,81,5,0,0,0,1024,22,0,6,25,105
56015957700,1169,993,83,82,6,0,0,0,1012,27,0,1,7,122
56015957800,1667,1201,264,189,9,0,0,0,1381,124,0,13,10,139
56015957900,2053,1545,309,190,4,0,0,0,1742,108,0,14,13,176
56015958000,1491,1247,140,98,4,0,0,0,1257,68,1,3,2,160
56035000101,1616,1415,99,94,6,0,0,0,1410,45,0,6,12,143
56035000103,1802,1412,176,190,13,0,0,0,1522,39,0,19,27,195
56035000104,1394,1182,90,108,7,0,1,0,1211,29,0,4,26,124
56013000100,2013,1220,482,287,17,0,0,0,1710,67,3,19,21,193
56013000200,2389,1268,760,332,20,0,1,0,2007,73,0,11,43,255
56013000301,1746,1157,361,214,11,0,0,0,1493,35,1,6,10,201
56013000302,962,751,101,95,10,0,0,0,826,13,0,3,14,106
56013000400,1168,860,146,142,17,0,0,0,1000,20,0,6,17,125
56013940100,978,367,453,150,6,0,1,0,708,50,0,7,86,127
56013940201,2113,1779,122,192,13,0,0,0,1801,56,0,4,20,232
56013940202,1833,946,676,196,11,0,1,0,1429,78,2,6,69,249
56013940301,557,362,101,88,6,0,0,0,440,44,1,1,18,53
56013940302,1185,907,139,121,14,0,0,0,989,77,0,3,7,109
56013940400,3158,2303,493,333,25,0,0,0,2677,133,1,19,33,295
56013940500,968,659,138,151,12,0,0,0,793,45,0,6,18,106
56033000100,3088,2188,470,383,37,3,0,0,2621,95,5,16,27,324
56033000200,1718,1142,331,211,26,2,0,0,1477,41,0,10,15,175
56033000300,1996,1409,318,246,18,1,0,0,1722,56,1,12,21,184
56033000400,2585,1835,407,309,26,0,0,0,2192,97,1,19,21,255
56033000501,1951,1553,202,176,12,1,0,0,1629,39,0,12,20,251
56033000502,2534,2000,231,277,18,5,0,0,2224,37,0,14,18,241
56033000600,3158,2418,382,338,16,0,0,0,2688,56,3,22,41,348
56027957200,1349,1192,81,67,8,0,0,0,1218,25,0,6,4,96
56011950200,2492,2210,102,156,14,0,0,0,2188,25,0,13,17,249
56011950300,1692,1465,99,113,10,0,0,0,1457,20,0,3,4,208
56003962600,1360,1120,100,126,11,0,0,0,1176,40,0,3,8,133
56003962700,1831,1489,160,163,13,0,0,0,1556,77,2,8,11,177
56003962800,2771,2326,166,228,31,0,0,0,2323,121,1,20,17,289
56043000200,1838,1549,126,146,14,0,0,0,1535,70,0,14,15,204
56043000301,1091,832,133,110,10,0,0,0,863,109,0,9,26,84
56043000302,1251,1011,131,97,8,0,0,0,1040,86,0,13,13,99
56025000200,1166,628,317,198,16,0,0,0,927,97,9,8,9,116
56025000300,1746,1046,379,297,20,0,0,0,1428,96,4,13,20,185
56025000400,1804,1160,371,246,24,0,0,0,1509,99,3,12,13,168
56025000501,2929,2072,427,392,29,0,0,0,2456,115,8,34,33,283
56025000502,1121,784,182,139,10,1,0,0,927,62,0,13,7,112
56025000601,1031,684,161,173,9,0,0,0,833,64,2,12,14,106
56025000602,2077,1433,364,252,24,0,0,0,1730,94,4,23,22,204
56025000700,1296,788,286,195,23,0,0,0,1059,67,5,10,12,143
56025000800,1575,1013,331,218,11,0,0,0,1307,78,2,10,14,164
56025000901,2374,1688,353,308,22,0,0,0,2025,103,1,12,18,215
56025000902,2088,1551,280,241,13,0,0,0,1798,55,1,16,15,203
56025001000,2328,1698,281,315,28,0,0,0,1977,76,2,17,17,239
56025001100,1254,899,171,155,23,0,0,0,1030,53,0,7,13,151
56025001200,591,401,89,87,12,0,0,0,507,23,3,0,6,52
56025001401,2802,2124,222,414,31,0,0,0,2380,118,0,25,26,253
56025001602,3371,2461,441,436,31,0,0,0,2845,120,0,33,37,336
56025001603,2119,1680,213,209,14,0,0,0,1794,67,1,18,17,222
56025001700,2396,1800,261,307,22,0,0,0,2026,65,2,23,27,253
56025001801,1341,1055,137,134,13,0,0,0,1120,47,0,8,11,155
56025001802,1218,997,107,101,5,0,0,0,1051,30,0,12,6,119
56029965100,3225,2732,188,283,17,0,0,0,2733,109,0,24,26,333
56029965200,2973,2174,370,364,46,0,0,0,2470,161,0,29,30,283
56029965301,2201,1752,198,238,8,0,0,0,1914,40,0,11,26,210
56029965302,2782,2296,206,258,15,0,0,0,2388,54,1,21,23,295
56029965401,1340,1006,140,183,8,0,0,0,1159,20,1,10,15,135
56029965402,1955,1563,162,213,13,0,0,0,1666,41,1,20,8,219
56029965500,2496,1912,262,298,17,0,1,0,2156,55,3,16,17,249
56041975201,1330,1072,100,141,11,0,0,0,1209,22,0,5,7,87
56041975202,1968,1588,199,164,9,1,0,0,1717,31,0,12,15,193
56041975301,1073,804,129,128,9,1,0,0,918,63,0,8,6,78
56041975302,2358,1746,320,263,21,0,0,0,2009,128,0,25,13,183
56041975401,1355,951,217,166,12,1,0,0,1185,49,1,14,14,92
56041975402,1498,1162,175,146,11,1,0,0,1307,74,0,5,13,99
56005000101,922,827,32,52,10,0,0,0,801,25,0,2,4,90
56005000102,2722,2392,115,190,23,0,0,0,2336,51,2,11,25,297
56005000103,858,741,34,72,9,0,0,0,742,49,0,0,3,64
56005000200,3187,2707,177,264,33,0,0,0,2619,152,0,24,29,363
56005000300,2020,1715,114,157,26,0,0,0,1668,90,3,9,13,237
56005000400,1470,1202,111,137,16,0,0,0,1227,52,3,11,16,161
56005000500,3245,2776,175,245,47,0,0,0,2717,88,2,20,47,371
56005000600,1900,1550,150,178,16,0,0,0,1607,68,2,9,20,194
56005000701,810,740,33,33,2,0,0,0,701,17,0,3,5,84
56005000702,2833,2477,142,178,28,0,0,0,2421,90,0,14,29,279
56023978001,2134,1659,177,268,22,0,0,0,1825,51,0,15,13,230
56023978002,2112,1411,274,395,24,0,0,0,1810,57,1,5,25,214
56023978100,3743,3115,149,421,38,0,0,0,3364,59,0,13,18,289
56023978200,1044,872,47,111,9,0,1,0,921,12,0,5,4,102
56023978400,1530,1177,184,148,15,0,0,0,1295,52,0,12,14,157
56021000200,1496,695,502,284,12,0,0,0,1039,271,26,13,10,137
56021000300,1379,684,392,281,14,1,0,0,988,245,17,9,11,109
56021000401,1697,998,413,263,18,0,0,0,1349,179,2,7,13,147
56021000403,1160,659,278,207,13,0,0,0,888,144,0,8,6,114
56021000404,739,419,168,138,10,1,0,0,579,61,6,4,2,87
56021000502,1370,840,300,217,10,0,0,0,1074,120,6,9,16,145
56021000503,1934,1109,467,332,23,0,0,0,1506,208,11,13,18,178
56021000601,978,513,286,170,7,0,0,0,804,84,3,1,9,77
56021000602,1633,892,465,259,16,0,0,0,1311,142,7,10,19,144
56021000701,1187,588,346,232,18,0,0,0,936,108,6,13,9,115
56021000702,364,169,97,90,7,0,0,0,276,37,5,9,6,31
56021000800,953,547,262,138,3,1,0,0,762,76,2,8,7,98
56021000900,1628,943,454,216,14,1,0,0,1353,88,2,9,23,153
56021001000,1308,631,410,248,15,0,0,0,1045,107,18,7,14,117
56021001100,223,113,42,60,7,0,0,0,166,24,4,1,1,27
56021001200,3190,2119,656,398,12,1,0,0,2643,187,8,32,30,290
56021001301,1522,911,380,217,10,1,0,0,1281,73,5,10,13,140
56021001302,3710,2484,732,466,23,0,0,0,3032,214,3,41,25,395
56021001401,1880,1146,440,277,17,0,0,0,1528,146,3,10,19,174
56021001402,1468,989,299,166,11,1,0,0,1199,87,0,10,12,160
56021001501,2763,1752,581,397,30,1,0,0,2239,243,9,18,26,228
56021001502,2200,1290,490,402,12,0,0,0,1754,178,7,10,12,239
56021001901,3534,2650,459,404,18,1,0,0,3002,154,3,18,30,327
56021001902,2934,2162,383,362,19,1,0,0,2445,105,4,16,36,328
56021002001,2311,1779,226,290,11,1,0,0,1867,93,0,11,10,330
56021002002,2933,2128,399,381,21,0,0,0,2392,175,7,21,27,311
56021980801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56001962700,2432,1443,532,412,39,0,0,0,2023,135,0,19,26,229
56001962800,1487,759,395,301,27,0,0,0,1197,132,2,14,23,119
56001962900,699,253,282,142,15,0,0,0,508,113,0,4,10,64
56001963000,994,390,360,217,23,0,0,0,792,70,4,13,9,106
56001963101,2321,1100,793,398,29,0,0,0,1862,100,5,59,35,260
56001963102,1937,827,667,388,48,0,0,0,1513,151,3,32,33,205
56001963400,1554,494,708,318,30,0,0,0,1248,81,6,18,16,185
56001963500,335,122,116,84,13,0,0,0,258,24,1,2,8,42
56001963600,2516,888,1116,463,47,0,0,0,2081,119,1,26,32,257
56001963700,3467,1583,1165,647,67,0,0,0,2785,240,2,54,30,356
56001963900,1625,1136,228,239,17,0,0,0,1386,35,2,11,29,162
56037970500,1136,701,258,162,11,0,0,0,905,109,1,14,15,92
56037970601,1480,906,368,180,21,0,0,0,1191,141,1,5,16,126
56037970602,1686,1070,344,239,21,2,0,0,1403,132,0,5,20,126
56037970700,1891,1243,393,223,28,0,0,0,1574,137,3,9,12,156
56037970800,1477,892,353,208,20,0,0,0,1122,138,5,12,38,162
56037970902,2049,1325,443,256,23,0,0,0,1643,142,7,17,32,208
56037970903,824,523,189,102,7,0,0,0,652,66,3,6,17,80
56037970904,1242,957,157,119,6,0,0,0,1054,63,0,6,9,110
56037970905,2174,1408,429,300,29,0,0,0,1717,171,4,19,42,221
56037971000,700,405,179,106,8,0,0,0,542,70,0,6,11,71
56037971100,1263,705,355,187,15,0,0,0,986,86,1,20,23,147
56037971200,1256,740,363,143,9,0,0,0,957,81,1,14,33,170
56037971600,888,710,84,85,6,0,0,0,746,43,2,2,8,87
56007967600,863,703,68,81,8,0,0,0,753,33,1,5,6,65
56007967700,1612,996,339,258,17,0,0,0,1231,240,0,10,9,122
56007967800,1759,1043,446,246,17,0,0,0,1352,255,0,21,8,123
56007968000,1975,1443,255,257,17,0,0,0,1709,50,2,11,17,186
56007968100,693,474,71,130,12,0,0,0,592,26,0,2,2,71
56009956400,2483,2075,182,197,22,0,0,0,2094,94,0,13,14,268
56009956500,1465,1236,87,129,7,0,0,0,1255,39,1,7,8,155
56009956600,1865,1651,82,121,11,0,0,0,1607,44,3,12,4,195
56009956700,1394,1115,129,127,18,0,0,0,1180,38,0,7,9,160
56045951100,1707,1523,89,82,8,0,0,0,1534,19,0,6,8,140
56045951300,1852,1562,117,157,9,0,0,0,1613,26,2,5,13,193
